 Offset(V)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
0x18cfbd30     0           WinSta0           0xc013     1          19         1      Change
0x18cfbd30     0           WinSta0           0xc001     1          1          1      StdExit
0x18cfbd30     0           WinSta0           0xc006     1          6          1      StdCloseDocument
0x18cfbd30     0           WinSta0           0xc029     2          41         0      CAddressBand_This
0x18cfbd30     0           WinSta0           0xc00a     1          10         1      OLEsystem
0x18cfbd30     0           WinSta0           0xc017     1          23         1      CC32SubclassInfo
0x18dd6da8     0       Service-0x0-3e7$      0xc00c     1          12         1      Protocols
0x18dd6da8     0       Service-0x0-3e7$      0xc00d     1          13         1      Topics
0x18dd6da8     0       Service-0x0-3e7$      0xc00e     1          14         1      Formats
0x18dd6da8     0       Service-0x0-3e7$      0xc019     1          25         0      RASDLG
0x18dd6da8     0       Service-0x0-3e7$      0xc007     1          7          1      StdShowItem
0x18dd6da8     0       Service-0x0-3e7$      0xc011     1          17         1      True
0x18dd6da8     0       Service-0x0-3e7$      0xc010     1          16         1      EditEnvItems
0x18dd6da8     0       Service-0x0-3e7$      0xc012     1          18         1      False
0x18dd6da8     0       Service-0x0-3e7$      0xc015     1          21         1      Close
0x18dd6da8     0       Service-0x0-3e7$      0xc004     1          4          1      StdEditDocument
0x18dd6da8     0       Service-0x0-3e7$      0xc008     1          8          1      StdDoVerbItem
0x18dd6da8     0       Service-0x0-3e7$      0xc003     1          3          1      StdOpenDocument
0x18dd6da8     0       Service-0x0-3e7$      0xc005     1          5          1      StdNewfromTemplate
0x18dd6da8     0       Service-0x0-3e7$      0xc01b     1          27         0      RASSRVUI_PAGE_ID
0x18dd6da8     0       Service-0x0-3e7$      0xc014     1          20         1      Save
0x18dd6da8     0       Service-0x0-3e7$      0xc016     1          22         1      MSDraw
0x18dd6da8     0       Service-0x0-3e7$      0xc002     1          2          1      StdNewDocument
0x18dd6da8     0       Service-0x0-3e7$      0xc00f     1          15         1      Status
0x18dd6da8     0       Service-0x0-3e7$      0xc018     29         24         0      ThemePropScrollBarCtl
0x18dd6da8     0       Service-0x0-3e7$      0xc009     1          9          1      System
0x18dd6da8     0       Service-0x0-3e7$      0xc00b     1          11         1      StdDocumentName
0x18dd6da8     0       Service-0x0-3e7$      0xc013     1          19         1      Change
0x18dd6da8     0       Service-0x0-3e7$      0xc001     1          1          1      StdExit
0x18dd6da8     0       Service-0x0-3e7$      0xc006     1          6          1      StdCloseDocument
0x18dd6da8     0       Service-0x0-3e7$      0xc01a     1          26         0      RASSRVUI_PAGE_DATA
0x18dd6da8     0       Service-0x0-3e7$      0xc00a     1          10         1      OLEsystem
0x18dd6da8     0       Service-0x0-3e7$      0xc017     1          23         1      CC32SubclassInfo
0x1950e7d0     0       Service-0x0-3e4$      0xc00c     1          12         1      Protocols
0x1950e7d0     0       Service-0x0-3e4$      0xc00d     1          13         1      Topics
0x1950e7d0     0       Service-0x0-3e4$      0xc00e     1          14         1      Formats
0x1950e7d0     0       Service-0x0-3e4$      0xc007     1          7          1      StdShowItem
0x1950e7d0     0       Service-0x0-3e4$      0xc011     1          17         1      True
0x1950e7d0     0       Service-0x0-3e4$      0xc010     1          16         1      EditEnvItems
0x1950e7d0     0       Service-0x0-3e4$      0xc012     1          18         1      False
